"IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
46883,10,45,4500,4500,4500,"25.3539803297018",53,1,0,2,2,10,2,1,"2","3","1","3",46,0,46,0,0,46,1,20,20,20,15,"656199","59186","0","2511","149984","0","472056","683737","730787.43","737029.43","6242","20260","751047.43","231709","214974","228142.43","118096.43","-10951","107145.43","5085","112230.43","678904","401531","424480","664272","13866","16565","17062","153444","0","23789","20644","86666","834","24925","16735","3986","0","6731",0,"1077","119","4163","21686","3021","11875","106"
46884,9,47,4700,4700,4700,"57.5890481126126",53,1,0,3,2,11,2,1,"2","3","1","3",46,0,46,0,0,46,0,21,24,25,23,"602594","6302","0","-201","272068","0","229426","507595","584103.3","592578.3","8475","22182","606285.3","136911","123812","154074.3","66980.3","-34018","32962.3","8475","41437.3","758884","358570","263854","863318","1204","9826","6453","114708","0","12588","15198","113128","2432","19058","13099","2096","0","7884",0,"6186","0","1315","31423","6861","26012","8099"
46885,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,2,6,1,0,"2","2","0","2",36,0,36,0,0,36,1,16,16,16,12,"239042","31486.1","0","-717","51489.86","4800","160999","243257.96","268908.32","268908.32","0","9282","278190.32","104368.96","101664.96","124510.32","75432.32","-16571","58861.32","0","58861.32","290245","216028","236684","271394","2381","9067","4439","28159","0","7890","18411","42814","493","7023","2704","2763","0","3968",0,"1482","431","885","0","0","11614","4964"
46887,9,50,5220,5200,5074,"35.2733463935869",53,1,0,2,3,9,1,0,"0.5","0.5","0","0.5",0,0,0,0,0,50,1,2,2,2,1,"409035","5180","0","0","259522","62056","0","346979","352510.43","359510.43","7000","352","352862.43","93229","91750","95374.43","72395.43","-2765","69630.43","7000","76630.43","72295","120154","11577","183903","0","822","1209","190305","0","1905","108","21055","975","3755","1479","253","0","3244",0,"216","13","1300","0","0","2813","0"
46888,10,45,4500,4500,4500,"25.3539803297018",53,1,0,3,3,6,1,1,"2","4","2","4",47,0,47,0,0,47,0,20,25,25,20,"725262.71","61478.93","0","2869","160745.96","0","526155","751248.89","817409.68","823392.68","5983","1369.72","818779.4","203802.99","192084.99","188872.78","91968.78","-5340.11","86628.67","5983","92611.67","679526","491117","241235","944211","7197","18757","21956","204967","0","28347","21633","78785.71","1767","13239","11718","6374","0","14637.5",0,"2849","0","1998","52175","10381","5303.11","1228"
46889,8,50,5120,5100,5074,"83.7762404860016",53,1,0,3,2,6,1,0,"1","1","0","1",0,0,0,0,29,29,0,11,11,11,1,"83157","52297","0","4422","20310","0","0","83280","97184","97184","0","225","97409","25538","19365","31687","2038","-2253","-215","0","-215","114393","43334","27058","130669","1192","5488","6626","0","0","0","7308","17722","0","4279","6173","0","0","5380",0,"370","0","355","0","0","2158","99"
46891,9,50,5130,5100,5074,"39.8535274475736",53,1,0,2,2,8,1,0,"1.24","1","0","1.24",6,0,6,0,35,38,9,0,9,9,4,"293658","-3046","0","1601","232776","15340","50347","281678","293735","294297","562","27745","321480","48743","48743","57587","45503","-5067","40436","498","40934","189090","136125","191236","133979","2030","5343","4332","121519","0","13177","5272","78000","1579","6986","0","0","0","7426",0,"69","1885","971","0","0","1799","3556"
46892,9,50,5130,5100,5074,"39.8535274475736",53,1,0,2,2,10,2,1,"1","1.45","0.45","1.45",0,0,0,0,47,47,0,0,0,1,0,"512732","0","0","0","529551","11634","0","529551","529605","531042","1437","0","529605","199187","199187","178632","154847","-2811","152036","1437","153474","93055","193452","143083","146172","0","0","0","240030","0","24938","0","109355","509","17457","0","0","0","3612",0,"0","0","1223","14931","4401","2415","408"
46894,10,28,2811,2800,2829,"20.5575388954959",53,1,0,2,2,9,1,0,"1","1","12.5","13.5",0,0,0,0,0,0,1,1,1,1,0,"1100553","0","1100553","0","0","0","0","1100553","1153562","1177739","24177","0","1153562","486841","486718","208850","-6538","-39304","-45842","24177","-21660","1427194","261038","-224583","1935457","0","61830","23070","0","0","0","883","202630","2520","9183","123","0","0","23746",0,"0","1331","1189","280500","47720","29740","9701"
46895,9,16,1630,1600,1516,"24.6108202177435",53,1,0,2,2,8,1,1,"3","3.3","0.57","3.57",0,0,0,0,0,0,0,14,14,14,0,"419072","17630","401442","0","0","0","0","419072","440522","449193","8671","0","440522","255511","228963","232343","183883","-216","183667","8671","192338","163805","218041","245476","140822","1025","41627","19745","0","0","0","18742","10285","1262","6237","26548","0","0","4813",0,"163","0","1943","13641","1924","613","2"
