"","IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
"315",47690,9,45,4500,4500,4500,"42.6481373060645",28,1,0,3,3,7,2,0,"2","2","0","2",25,0,25,0,0,25,1,17,18,18,14,"221938","32976","0","-404","12663","170","179421","225146","258572.15","264448.15","5876","6635","265207.15","66905","45886","77377.15","34950.15","-8485","26465.15","5876","32340","312917","125201","129549","308569","0","10294","7928","36183","120","1731","9171","54800","1613","6858","21019","0","1108","7069",0,"445","107","666","0","0","4824","3749"
"316",47691,8,45,4500,4500,4500,"73.3105604665629",28,1,0,3,3,6,1,0,"1","1","0.6","1.6",14,0,14,0,0,14,1,8,9,9,7,"126182","4852","0","0","14124","0","114339","133707","154025.43","157723.43","3698","13147","167172.43","43227","36785","48862.43","12626.43","-3129","9497.43","3698","13195.43","380107","72457","232080","220484","0","5075","0","17222","0","953","2572","14059","1211","6032","6442","354","0","3532",0,"194","320","358","6848","334","3037","160"
"317",47692,8,45,4500,4500,4500,"73.3105604665629",28,1,0,3,3,6,1,0,"1","1","0","1",24,0,24,0,0,24,11,4,12,12,12,"131133","-5411","0","0","4399","18300","93042","92030","114166.76","119212.76","5046","13728","127894.76","-1229","-5042","15019.76","-35632.24","-13360","-48992.24","3422","-45570.24","821082","81446","215708","686820","6388","794","0","2679","10025","2431","7236","22277","3829","8570","3813","150","0","9300",0,"491","1056","448","0","0","11956","1483"
"318",47693,9,45,4500,4500,4500,"42.6481373060645",28,1,0,2,2,5,1,0,"2","2","0","2",32,0,32,0,0,32,1,23,23,23,17,"338324","78928","0","12638","47826","350","205180","344572","393525.16","395025.16","1500","0","393525.16","92736","65086","108808.16","65086.16","-8063","57023.16","1500","58520","372738","208312","174681","433699","0","16186","13406","70645","0","6211","11699","45787","1088","4934","27650","169","0","8638",0,"1891","0","2008","0","0","5147","3954"
"319",48281,9,15,1510,1500,1516,"39.0672367480664",28,1,0,1,0,9,1,0,"1","1","0","1",0,0,0,0,0,0,0,26,26,26,6,"138662","160635","0","0","0","0","0","162095","216952","217225","273","0","216952","38746","12487","64723","-51243","-1200","-52443","273","-52170","281231","178358","326155","138814","0","9611","37003","0","0","0","6483","32641","939","17065","26259","0","2650","11366",0,"1318","0","472","0","0","1272","28"
"320",48282,6,16,1660,1600,1516,"65.0724768596879",28,1,0,4,3,9,1,4,"1.91","10","9","10.91",0,0,0,0,0,0,3,3,6,6,2,"856889","14645","0","830293","0","0","0","869023","884446.33","885488.33","1042","0","884446.33","506700","505396","217281.33","137704.33","-18418","119286.33","624","119910.33","651919","443825","320462","777766","0","1397","9889","0","0","0","19503","65257","1200","24027","1304","13102","0","5600",0,"81777","590","6577","165685","40230","17561","1005"
"321",48283,8,47,4700,4700,4700,"18.1817739241124",28,1,0,0,0,6,1,0,"2","2","0","2",34,0,34,0,0,34,0,9,9,9,9,"152866","7847","0","3330","51238","0","89998","152413","174631","175227","596","0","174631","61924","48936","69425","8689","-10039","-1350","-993","-2343","483421","173411","272820","384012","0","4459","1700","16778","0","1612","6395","46067","455","2978","12988","786","0","4113",0,"889","0","560","0","0","10122","0"
"322",48284,8,47,4700,4700,4700,"18.1817739241124",28,1,0,0,0,10,1,0,"1","1","0","1",18,0,18,0,0,18,8,4,11,11,8,"151639","24174","0","-675","35477","7130","55817","114793","134544","159170","24626","0","134544","21629","17951","31440","8702","-6911","1791","24626","26417","282762.81","89707","218325.81","154443","0","5713","5760","23637","0","2401","3847","14580","2503","4299","3678","0","0","723",0,"809","2546","970","0","0","1549","5459"
"323",48285,8,45,4500,4500,4500,"34.7641591637178",28,1,0,3,3,8,1,0,"1","1","1","2",19,0,19,0,0,19,2,10,11,11,9,"51726","1040","0","-890","7181","0","45535","52866","79152","81422","2270","5098","84250","-14235","-22657","-7930","-27502","-1921","-29423","2270","-27153","160747","70286","161805","69541","0","3586","0","0","9660","1892","4061","22070","1404","6947","8422","171","0","5333",0,"823","886","453","9074","293","1594","356"
"324",48286,8,15,1510,1500,1516,"75.3991346526384",28,1,0,0,1,10,1,0,"1","1","0","1",0,0,0,0,0,0,9,14,18,18,1,"218680","164071","0","1198","0","0","0","178279","210341","210341","0","0","210341","86301","71462","95586","63121","3074","66195","0","66195","233720.54","304570","512483.54","25807","0","7921","26783","0","0","0","8438","0","104","12595","14839","0","0","5500",0,"1744","1441","1527","0","0","0","0"
